B,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration,Obj_permeate_conductivity,Obj_retentate_conductivity
7.894737578947368,3.9813554471742125,3.0489135179891713,2.4534998448682077,2.817616284682201,3.5633259635206933,2.441678296543417
7.894737578947368,4.976694308967765,2.884686033957505,2.361740925547085,2.6763167211890764,3.502817570199809,2.298454964872836
7.894737578947368,5.972033170761319,2.6894567563518295,2.2741421785140306,2.519483695582214,3.4496866208382495,2.1407138809446096
7.894737578947368,6.967372032554872,2.4480469937582643,2.192926413350048,2.34883285686071,3.4032165793526086,1.9703948216808622
7.894737578947368,7.962710894348425,2.130537579621325,2.121806896410056,2.1760536561519808,3.3628700876418343,1.7990735709856343
7.894737578947368,8.958049756141978,1.6685080915906307,2.0657161438122245,2.036320616995389,3.328234060028763,1.6601945574617083
7.894737578947368,9.95338861793553,0.9678530601212955,2.0297860273293047,1.9883763458585404,3.298975561891928,1.6086418276284749
7.894737578947368,10.948727479729083,1.239087560169753,2.017591509457288,2.056254905287985,3.2748070149072914,1.6681934130516936
7.894737578947368,11.944066341522637,1.814978586505883,2.029517106534039,2.193499624443964,3.2554598191589657,1.7971335069996264
7.894737578947368,12.93940520331619,2.170413244325417,2.062472276956026,2.3470479515366223,3.240665758127249,1.944630229309541
7.894737578947368,13.934744065109744,2.4162908020033504,2.111187863600725,2.492291299979781,3.2301455412973072,2.085680912044534
7.894737578947368,14.930082926903296,2.6011117026553543,2.1700342456452315,2.6225601400293495,3.2236036280384255,2.2128973024889507
7.894737578947368,15.92542178869685,2.747451510784585,2.234266743217184,2.7377847640251063,3.2207281968041186,2.3257442831838238
7.894737578947368,16.920760650490404,2.8674228613824666,2.300441937974003,2.839721400444383,3.2211949033901166,2.4257201791149603
7.894737578947368,17.916099512283957,2.9682370881300404,2.366308140498139,2.9303698629454638,3.224672997010491,2.514683140088505
7.894737578947368,18.91143837407751,3.054524756432316,2.430512753545598,3.011521984503453,3.2308324586073156,2.5943443908641486
7.894737578947368,19.90677723587106,3.1294329756199963,2.4923145083501623,3.0846745418075505,3.239351063296113,2.66615250240084
9.47368489473684,0.9953388617935531,3.426841513814231,2.743101510829486,3.1648846502806283,3.814784251092291,2.799573147344403
9.47368489473684,1.9906777235871063,3.3152371510556073,2.6296664534733845,3.060426915253373,3.7368080806018766,2.6907973573702155
9.47368489473684,2.9860165853806593,3.189676191431043,2.5198717409032168,2.9461795856178252,3.6681914913134968,2.573029582811785
9.47368489473684,3.9813554471742125,3.046465722414486,2.41298972216251,2.820214823123129,3.6077683120548962,2.4442956034011063
9.47368489473684,4.976694308967765,2.8798969629433167,2.3097433551221336,2.6805472907538683,3.554630119140842,2.3026736929235727
9.47368489473684,5.972033170761319,2.680639845143629,2.2127142103127593,2.525788519043573,3.5080843665054506,2.146940569381374
9.47368489473684,6.967372032554872,2.432116538880564,2.12676528484668,2.357327545981164,3.467599875449097,1.9787088884229027
9.47368489473684,7.962710894348425,2.1011763764777815,2.058932845744946,2.1855119985093943,3.432759461226703,1.8082890403335286
9.47368489473684,8.958049756141978,1.6123373056885533,2.0169208807652534,2.0421950450517605,3.403221075870405,1.6661028958425999
9.47368489473684,9.95338861793553,0.9537410957613947,2.005961525263523,1.9836035379750612,3.3786868594177437,1.604746540266357
11.052632210526314,0.9953388617935531,3.426783013896086,2.736916465925657,3.1650275448529657,3.8251510926995027,2.7997229588176467
11.052632210526314,1.9906777235871063,3.3149388739515557,2.616015553962258,3.0609140286551675,3.7559949133364,2.691299910634921
11.052632210526314,2.9860165853806593,3.188824529187203,2.497200248154904,2.9472786018473927,3.694920025870716,2.574149418821837
11.052632210526314,3.9813554471742125,3.044558265313473,2.380491587912454,2.8222512493189784,3.641067954352805,2.4463483482252006
11.052632210526314,4.976694308967765,2.876120177694761,2.267863987226388,2.683900808333639,3.5937566734947852,2.30602057284279
11.052632210526314,5.972033170761319,2.6736085629269333,2.1640816619210073,2.5308407792733076,3.5524541698417718,2.15193469268857
11.052632210526314,6.967372032554872,2.4192719330608847,2.0773068158599846,2.3642276791594834,3.5167387710388507,1.985468258467511
