B,sigma,Obj_mass,Obj_concentration,Obj_retentate_concentration,Obj_permeate_conductivity,Obj_retentate_conductivity
4.73684294736842,0.7368421052631579,0.9569039420794869,2.228838435441458,3.686061892556135,3.04117744120575,1.6528401204624539
4.73684294736842,0.7894736842105263,0.9953428474624552,2.229783724576393,3.679462181261594,3.041410099732705,1.646832571780547
4.73684294736842,0.8421052631578947,1.0464467535393709,2.230722687977436,3.6732023878846123,3.0416422079462215,1.6411415490295258
4.73684294736842,0.894736842105263,1.105065983667933,2.2316555240065714,3.667281952318458,3.041873789535054,1.63576597452493
4.73684294736842,0.9473684210526315,1.1671673615801232,2.232582422012929,3.661699815542789,3.0421048670399022,1.6307043421097023
4.73684294736842,1.0,1.229965131885279,2.2335035628047195,3.656454415426023,3.0423354619121867,1.6259547166494646
6.315790263157894,0.0,1.7636354941472387,2.0855256816460015,3.756589200313297,3.1891714760424805,1.7179066909610465
6.315790263157894,0.05263157894736842,1.7047346152995781,2.086319181744792,3.7482792658712913,3.189293708482602,1.7102684542422584
6.315790263157894,0.10526315789473684,1.6439306621389271,2.0871142187268608,3.740230978608874,3.1894164045893425,1.70287788502392
6.315790263157894,0.15789473684210525,1.5812066594694156,2.087910668261953,3.7324457344331194,3.1895395484065996,1.6957358165558558
6.315790263157894,0.21052631578947367,1.5166126715249695,2.088708415259259,3.724924742924699,3.1896631250513083,1.6888429074039313
6.315790263157894,0.2631578947368421,1.4503037261069125,2.089507353023888,3.7176690108306665,3.189787120617363,1.6821996289005425
6.315790263157894,0.3157894736842105,1.3825945748719932,2.0903073824988376,3.7106793268996054,3.1899115220894165,1.6758062538338616
6.315790263157894,0.3684210526315789,1.3140360496033068,2.0911084115828698,3.7039562481408783,3.190036317265361,1.6696628464241499
6.315790263157894,0.42105263157894735,1.2455155733369658,2.0919103545158984,3.6975000875838853,3.190161494686545,1.663769253629682
6.315790263157894,0.47368421052631576,1.1783765642740647,2.0927131313245084,3.6913109036052596,3.1902870435748323,1.6581250978176074
6.315790263157894,0.5263157894736842,1.114533075777588,2.0935166673211265,3.6853884908820906,3.1904129537757626,1.652729770826668
6.315790263157894,0.5789473684210527,1.0565232623718683,2.0943208926511727,3.679732373017836,3.1905392157071444,1.647582429439323
6.315790263157894,0.631578947368421,1.0074057877588904,2.0951257418831046,3.6743417968748617,3.190665820312497,1.6426819922708025
6.315790263157894,0.6842105263157894,0.9703936287750791,2.0959311536369567,3.669215728633472,3.190792759018843,1.6380271380717697
6.315790263157894,0.7368421052631579,0.9482051068196595,2.0967370702473973,3.6643528515827946,3.1909200236983684,1.6336163054304687
6.315790263157894,0.7894736842105263,0.942315505766268,2.0975434374578223,3.6597515656335413,3.1910476066335947,1.6294476938489626
6.315790263157894,0.8421052631578947,0.9524773792286699,2.0983502041423705,3.655409988527409,3.191175500485666,1.625519266157209
6.315790263157894,0.894736842105263,0.9768035826592819,2.0991573220531077,3.6513259587025524,3.1913036982654654,1.6218287522179988
6.315790263157894,0.9473684210526315,1.01235941364463,2.099964745589893,3.6474970397598954,3.1914321933072727,1.6183736538657267
6.315790263157894,1.0,1.0559154267360136,2.100772431590739,3.643920526460839,3.1915609792447133,1.6151512510124428
7.894737578947368,0.0,1.7636354941472383,2.0249183195922686,3.7180244838797067,3.2978627949854507,1.68294450248883
7.894737578947368,0.05263157894736842,1.7126939350398025,2.0250716887242333,3.711805038933777,3.2979142183774286,1.677255884199722
7.894737578947368,0.10526315789473684,1.6603566555227671,2.025238455658615,3.705802668628897,3.2979665618070606,1.6717705730037886
7.894737578947368,0.15789473684210525,1.6066107064257487,2.025418210146776,3.7000172224720247,3.2980197986274358,1.6664881136393246
7.894737578947368,0.21052631578947367,1.5514772441414026,2.02561056041475,3.6944483943440343,3.298073903501207,1.6614079149420828
7.894737578947368,0.2631578947368421,1.4950278079517394,2.025815132003898,3.6890957176866297,3.2981288523124515,1.6565292467305375
7.894737578947368,0.3157894736842105,1.4374067894071187,2.0260315667009503,3.683958561578909,3.2981846220857376,1.651851237435689
7.894737578947368,0.3684210526315789,1.3788617937955365,2.026259521549359,3.6790361277097423,3.2982411909117273,1.6473728724710974
7.894737578947368,0.42105263157894735,1.3197833742114948,2.0264986679347463,3.6743274482468227,3.2982985378786775,1.6430929933349172
7.894737578947368,0.47368421052631576,1.2607544806986222,2.026748690737958,3.6698313845977233,3.2983566430093028,1.639010297431657
7.894737578947368,0.5263157894736842,1.2026070173822179,2.0270092875498698,3.6655466270526587,3.2984154872025298,1.6351233385973913
7.894737578947368,0.5789473684210527,1.1464769379783097,2.027280167942706,3.661471695292909,3.2984750521796498,1.63143052830814
7.894737578947368,0.631578947368421,1.0938394509947034,2.027561052793105,3.65760493974313,3.2985353204345462,1.6279301375472044
7.894737578947368,0.6842105263157894,1.0464934342872119,2.027851673652649,3.653944543740359,3.2985962751875824,1.6246202993036172
7.894737578947368,0.7368421052631579,1.0064557602342934,2.02815177216197,3.6504885264870612,3.298657900342876,1.6214990116702854
7.894737578947368,0.7894736842105263,0.9757360213490689,2.0284610995049155,3.6472347467507187,3.2987201804486324,1.6185641415072813
7.894737578947368,0.8421052631578947,0.9560050203783242,2.0287794158995656,3.6441809072677995,3.298783100660324,1.6158134286328767
7.894737578947368,0.894736842105263,0.9482408712102527,2.029106490123208,3.641324559805828,3.2988466467064357,1.6132444905023389
7.894737578947368,0.9473684210526315,0.9524896318486455,2.029442099068631,3.638663110833681,3.298910804856605,1.6108548273325158
7.894737578947368,1.0,0.9678530601212955,2.0297860273293047,3.6361938277471784,3.298975561891928,1.6086418276284749
9.47368489473684,0.0,1.763635494147238,2.0129079359027453,3.6914465923515007,3.378348353062713,1.6590324749279481
9.47368489473684,0.05263157894736842,1.7187688047392098,2.01238636357508,3.686753526695282,3.3783580611989334,1.654757013427962
9.47368489473684,0.10526315789473684,1.6728361635093443,2.011884275653668,3.6822382923556742,3.378368793613863,1.6506468648332888
9.47368489473684,0.15789473684210525,1.6258279090876122,2.01140123820162,3.677900007217837,3.3783805249600625,1.646701017151074
9.47368489473684,0.21052631578947367,1.5777535141430892,2.0109368328764847,3.6737376805574558,3.3783932309375726,1.6429183673992838
9.47368489473684,0.2631578947368421,1.528649470264161,2.010490656101573,3.6697502127870005,3.378406888233887,1.6392977218763305
9.47368489473684,0.3157894736842105,1.478589785176034,2.0100623182925483,3.6659363956818245,3.378421474468172,1.6358377968096516
9.47368489473684,0.3684210526315789,1.4276997579882675,2.0096514431349264,3.6622949130731905,3.3784369681393884,1.6325372193694383
9.47368489473684,0.42105263157894735,1.3761736953523023,2.0092576669085362,3.658824341993145,3.378453348577994,1.629394529032363
9.47368489473684,0.47368421052631576,1.3242970378673626,2.008880637855339,3.6555231542539124,3.3784705959009202,1.6264081792786558
9.47368489473684,0.5263157894736842,1.2724727965523341,2.0085200155873366,3.652389718442507,3.3784886909695877,1.6235765396047275
9.47368489473684,0.5789473684210527,1.22125097518434,2.0081754705315538,3.6494223023091776,3.3785076153506806,1.6208978978321809
9.47368489473684,0.631578947368421,1.1713574355660081,2.007846683409383,3.646619075526764,3.378527351279518,1.6183704626932474
9.47368489473684,0.6842105263157894,1.1237152099835437,2.007533344747765,3.6439781127962996,3.378547881625759,1.615992366671622
9.47368489473684,0.7368421052631579,1.0794468523831515,2.007235154419932,3.641497397272973,3.378569189861325,1.6137616690770482
9.47368489473684,0.7894736842105263,1.039842542363279,2.0069518212135926,3.6391748242853676,3.3785912600303223,1.6116763593314265
