sigma,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration,panel_id
0.0612244897959184,0.649836734693878,-1.1170192761986806,0.2462744564164037,0.3147307000476319,A
0.0612244897959184,0.791755102040816,-1.1557632741915873,0.1278594148307176,0.2896553730884119,A
0.0612244897959184,0.933673469387755,-1.1962847804014236,0.0128647759442473,0.2628287709940324,A
0.0612244897959184,1.07559183673469,-1.2387535791413076,-0.099371926259055,0.2341521732146142,A
0.0612244897959184,1.21751020408163,-1.283364196182213,-0.2094999029567315,0.2034951394280962,A
0.0612244897959184,1.35942857142857,-1.330340968171953,-0.3181474698170246,0.1706936124584164,A
0.0612244897959184,1.50134693877551,-1.3799443976020205,-0.4259254280921084,0.1355461550912325,A
0.0612244897959184,1.64326530612245,-1.4324792061331135,-0.5334357675193366,0.0978081269149545,A
0.0612244897959184,1.78518367346939,-1.4883046457713305,-0.6412832828216538,0.0571833553047959,A
0.0612244897959184,1.92710204081633,-1.547847833029404,-0.7500892147371343,0.0133125847841722,A
0.0612244897959184,2.06902040816327,-1.611621154692422,-0.8605066647066621,-0.0342424687418589,A
0.0612244897959184,2.2109387755102,-1.6802451745060554,-0.9732378682812268,-0.0860212344274083,A
0.0612244897959184,2.35285714285714,-1.7544789459375685,-1.0890531519910476,-0.1426954185243506,A
0.0612244897959184,2.49477551020408,-1.83526012277245,-1.2088107047994257,-0.205113728082541,A
0.0612244897959184,2.63669387755102,-1.9237573934403824,-1.3334740440217614,-0.274367757641801,A
0.0612244897959184,2.77861224489796,-2.0214362978662757,-1.464118655182937,-0.3518921392618399,A
0.0612244897959184,2.9205306122449,-2.130132361725068,-1.6019056067548108,-0.4396227850470509,A
0.0612244897959184,3.06244897959184,-2.2520995639525623,-1.7479678420289195,-0.5402584109092322,A
0.0612244897959184,3.20436734693878,-2.389914061302289,-1.9030737163580311,-0.6577191236434522,A
0.0612244897959184,3.34628571428571,-2.5458179702717025,-2.066749684485909,-0.7980107204727082,A
0.0612244897959184,3.48820408163265,-2.7191295215043465,-2.235183856566931,-0.9710189447872408,A
0.0612244897959184,3.63012244897959,-2.8977888949247324,-2.396969815106505,-1.194765438078663,A
0.0612244897959184,3.77204081632653,-3.0391954390190334,-2.5278530918265796,-1.5077156316381586,A
0.0612244897959184,3.91395918367347,-3.0684530094172255,-2.5949524017189827,-2.0184321483303433,A
0.0612244897959184,4.05587755102041,-2.9639288917577713,-2.5827620779792135,-3.224240144113379,A
0.0612244897959184,4.19779591836735,-2.7929552907673476,-2.5110710492782204,-2.2668376625522586,A
0.0612244897959184,4.33971428571429,-2.614999035441824,-2.412754328267834,-1.5939160634219152,A
0.0612244897959184,4.48163265306122,-2.4517552020785627,-2.3102624732816115,-1.2048131047614945,A
0.0612244897959184,4.62355102040816,-2.3069565196499684,-2.2137307285480534,-0.9281618302384153,A
0.0612244897959184,4.7654693877551,-2.179035158083462,-2.126418778257037,-0.7116525113328053,A
0.0612244897959184,4.90738775510204,-2.065411153390043,-2.0486426860178293,-0.5325171031076346,A
0.0612244897959184,5.04930612244898,-1.963671425440791,-1.9796510830958796,-0.3787982068600011,A
0.0612244897959184,5.19122448979592,-1.8718125986727487,-1.9184006072515445,-0.2434329298713178,A
0.0612244897959184,5.33314285714286,-1.7882276057750142,-1.8638496231159736,-0.121897568454256,A
0.0612244897959184,5.4750612244898,-1.711635965353345,-1.8150563926368497,-0.0111162821257527,A
0.0612244897959184,5.61697959183673,-1.6410134652003294,-1.77119993084933,0.0911009127613643,A
0.0612244897959184,5.75889795918367,-1.5755342193238324,-1.7315727175399946,0.1863720133123636,A
0.0612244897959184,5.90081632653061,-1.514525833081622,-1.6955644864776702,0.2759296102621844,A
0.0612244897959184,6.04273469387755,-1.4574354238935276,-1.6626446635673071,0.3607375598076498,A
0.0612244897959184,6.18465306122449,-1.403803969605795,-1.632346160575252,0.4415670233126481,A
0.0612244897959184,6.32657142857143,-1.3532468727081868,-1.6042513144934452,0.5190477904880285,A
0.0612244897959184,6.46848979591837,-1.3054391281517306,-1.5779799311594038,0.5937040636804023,A
0.0612244897959184,6.61040816326531,-1.2601039052842695,-1.5531792721961215,0.6659801915460082,A
0.0612244897959184,6.75232653061224,-1.217003675332857,-1.529515592136324,0.736259456511988,A
0.0612244897959184,6.89424489795918,-1.1759332522140138,-1.5066670572126353,0.8048783554083128,A
0.0612244897959184,7.03616326530612,-1.1367142838113165,-1.4843179161945217,0.872137391598186,A
0.0612244897959184,7.17808163265306,-1.099190853970497,-1.46215372271149,0.938310103772128,A
0.0612244897959184,7.32,-1.0632259407799978,-1.4398577128096277,1.003649979113508,A
0.0816326530612245,0.366,-1.0442224496130377,0.4960401442343792,0.3599003273348004,A
0.0816326530612245,0.507918367346939,-1.0798054951196456,0.3690685174279171,0.3381839755995554,A
0.0816326530612245,0.649836734693878,-1.1168784806191276,0.2466976259884159,0.3148218454243913,A
0.0816326530612245,0.791755102040816,-1.1555729178893923,0.1283948468734971,0.2897809996475682,A
0.0816326530612245,0.933673469387755,-1.196037386244161,0.0135168911522532,0.2629949068606392,A
0.0816326530612245,1.07559183673469,-1.2384408840355496,-0.0985980549013813,0.2343655227261535,A
0.0816326530612245,1.21751020408163,-1.28297690284947,-0.2085980758079094,0.2037632859868261,A
