B,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration,panel_id
1e-06,4.19779591836735,-3.114765680369476,-0.1108572015012491,-1.5757204554278748,A
1e-06,4.33971428571429,-3.0863903227889566,-0.1100616375502933,-1.22922456627017,A
1e-06,4.48163265306122,-2.9599748604871454,-0.1093176616587424,-0.9762846775424792,A
1e-06,4.62355102040816,-2.7969178009131777,-0.1086200388630956,-0.7758214277490966,A
1e-06,4.7654693877551,-2.6352467616040096,-0.1079642375105858,-0.6089464369778251,A
1e-06,4.90738775510204,-2.4876230748059194,-0.1073463153814036,-0.4653992996971365,A
1e-06,5.04930612244898,-2.3559150299407556,-0.1067628269273977,-0.338981561713719,A
1e-06,5.19122448979592,-2.23871035972413,-0.106210747262229,-0.2256603034319561,A
1e-06,5.33314285714286,-2.133937335799464,-0.1056874095723084,-0.1226632578391302,A
1e-06,5.4750612244898,-2.039644752801511,-0.1051904532647463,-0.0280021649164462,A
1e-06,5.61697959183673,-1.9541829142998584,-0.1047177807923013,0.0597980343178104,A
1e-06,5.75889795918367,-1.8762040550341037,-0.1042675215674795,0.1418623442621087,A
1e-06,5.90081632653061,-1.8046166916505704,-0.1038380016061064,0.2190688156811649,A
1e-06,6.04273469387755,-1.738535457364387,-0.1034277179199318,0.292116216540448,A
1e-06,6.18465306122449,-1.6772378278300344,-0.1030353167926545,0.3615701489559336,A
1e-06,6.32657142857143,-1.620129512022476,-0.1026595752964331,0.4278951632259975,A
1e-06,6.46848979591837,-1.5667175528153567,-0.1022993854938733,0.4914777427355256,A
1e-06,6.61040816326531,-1.5165895930275255,-0.1019537408798327,0.5526430777833183,A
1e-06,6.75232653061224,-1.4693978938820988,-0.1016217247177357,0.6116676736913871,A
1e-06,6.89424489795918,-1.4248469565826474,-0.1013024999495479,0.668788801332643,A
1e-06,7.03616326530612,-1.3826838690862024,-0.1009953004540387,0.7242117352406499,A
1e-06,7.17808163265306,-1.3426907204228944,-0.1006994234496912,0.7781154135339221,A
1e-06,7.32,-1.3046785960553626,-0.1004142228524501,0.8306569987174476,A
0.040817306122449,0.366,-1.0392438924937486,-0.8247011205150759,0.3093551166432492,A
0.040817306122449,0.507918367346939,-1.0724372837669822,-0.6685865005126022,0.2823590720890201,A
0.040817306122449,0.649836734693878,-1.106846172321306,-0.5600337170756221,0.2539601397034356,A
0.040817306122449,0.791755102040816,-1.1425760351958143,-0.4827122056053698,0.2240256157843247,A
0.040817306122449,0.933673469387755,-1.1797407236489852,-0.4258625727085838,0.1924054125555379,A
0.040817306122449,1.07559183673469,-1.2184656186206142,-0.3828346244485184,0.1589281598769574,A
0.040817306122449,1.21751020408163,-1.2588907134833214,-0.349437449138343,0.1233965282411944,A
0.040817306122449,1.35942857142857,-1.301173918051379,-0.3229452612040413,0.0855814306976535,A
