sigma,beta_1,log10_obj_cr
0.29411764705882354,0.09051510015255083,1.893493992754792
0.3529411764705882,0.09051510015255083,1.8860506819752072
0.4117647058823529,0.09051510015255083,nan
0.47058823529411764,0.09051510015255083,1.8708742844725952
0.5294117647058824,0.09051510015255083,1.8631370363819038
0.5882352941176471,0.09051510015255083,nan
0.6470588235294118,0.09051510015255083,1.8473535619354358
0.7058823529411764,0.09051510015255083,nan
0.7647058823529411,0.09051510015255083,nan
0.8235294117647058,0.09051510015255083,nan
0.8823529411764706,0.09051510015255083,nan
0.9411764705882353,0.09051510015255083,nan
1.0,0.09051510015255083,nan
0.0,0.1108235990855122,1.9620675206172156
0.058823529411764705,0.1108235990855122,nan
0.11764705882352941,0.1108235990855122,1.9505445909234318
0.1764705882352941,0.1108235990855122,nan
0.23529411764705882,0.1108235990855122,1.9387803291226826
0.29411764705882354,0.1108235990855122,nan
0.3529411764705882,0.1108235990855122,nan
0.4117647058823529,0.1108235990855122,nan
0.47058823529411764,0.1108235990855122,nan
0.5294117647058824,0.1108235990855122,nan
0.5882352941176471,0.1108235990855122,nan
0.6470588235294118,0.1108235990855122,nan
0.7058823529411764,0.1108235990855122,nan
0.7647058823529411,0.1108235990855122,nan
0.8235294117647058,0.1108235990855122,nan
0.8823529411764706,0.1108235990855122,nan
0.9411764705882353,0.1108235990855122,nan
1.0,0.1108235990855122,nan
0.0,0.1311320980184736,1.9861816343084178
0.058823529411764705,0.1311320980184736,nan
0.11764705882352941,0.1311320980184736,nan
0.1764705882352941,0.1311320980184736,nan
0.23529411764705882,0.1311320980184736,1.9664890356953253
0.29411764705882354,0.1311320980184736,1.961454565234099
0.3529411764705882,0.1311320980184736,nan
0.4117647058823529,0.1311320980184736,nan
0.47058823529411764,0.1311320980184736,nan
0.5294117647058824,0.1311320980184736,nan
0.5882352941176471,0.1311320980184736,nan
0.6470588235294118,0.1311320980184736,nan
0.7058823529411764,0.1311320980184736,nan
0.7647058823529411,0.1311320980184736,nan
0.8235294117647058,0.1311320980184736,nan
0.8823529411764706,0.1311320980184736,nan
0.9411764705882353,0.1311320980184736,nan
1.0,0.1311320980184736,nan
0.0,0.15144059695143494,nan
0.058823529411764705,0.15144059695143494,nan
0.11764705882352941,0.15144059695143494,nan
0.1764705882352941,0.15144059695143494,1.992018907822764
0.23529411764705882,0.15144059695143494,nan
0.29411764705882354,0.15144059695143494,nan
0.3529411764705882,0.15144059695143494,nan
0.4117647058823529,0.15144059695143494,nan
0.47058823529411764,0.15144059695143494,nan
0.5294117647058824,0.15144059695143494,nan
0.5882352941176471,0.15144059695143494,nan
0.6470588235294118,0.15144059695143494,nan
0.7058823529411764,0.15144059695143494,nan
0.7647058823529411,0.15144059695143494,nan
0.8235294117647058,0.15144059695143494,nan
0.8823529411764706,0.15144059695143494,nan
0.9411764705882353,0.15144059695143494,nan
1.0,0.15144059695143494,nan
0.0,0.1717490958843963,nan
0.058823529411764705,0.1717490958843963,nan
0.11764705882352941,0.1717490958843963,nan
0.1764705882352941,0.1717490958843963,nan
0.23529411764705882,0.1717490958843963,nan
0.29411764705882354,0.1717490958843963,nan
0.3529411764705882,0.1717490958843963,nan
0.4117647058823529,0.1717490958843963,nan
0.47058823529411764,0.1717490958843963,nan
0.5294117647058824,0.1717490958843963,nan
0.5882352941176471,0.1717490958843963,nan
0.6470588235294118,0.1717490958843963,nan
0.7058823529411764,0.1717490958843963,nan
0.7647058823529411,0.1717490958843963,nan
0.8235294117647058,0.1717490958843963,nan
0.8823529411764706,0.1717490958843963,nan
0.9411764705882353,0.1717490958843963,nan
1.0,0.1717490958843963,nan
0.0,0.19205759481735765,nan
0.058823529411764705,0.19205759481735765,nan
0.11764705882352941,0.19205759481735765,nan
0.1764705882352941,0.19205759481735765,nan
0.23529411764705882,0.19205759481735765,2.018196643336427
