beta_0,Lp,log10_obj_cr
0.830257013710957,8.007610448062128,1.9034643322902642
1.0112977911366543,8.007610448062128,1.7336685551509015
1.1923385685623518,8.007610448062128,1.5650806328156441
1.373379345988049,8.007610448062128,1.3984009605532408
1.5544201234137465,8.007610448062128,1.2360872412996569
1.735460900839444,8.007610448062128,1.0834955654953358
1.9165016782651412,8.007610448062128,0.9498259044844434
2.0975424556908386,8.007610448062128,0.8472310205351725
2.278583233116536,8.007610448062128,0.786095638071501
2.4596240105422336,8.007610448062128,0.7683728153373421
2.6406647879679306,8.007610448062128,0.7859062556241291
2.821705565393628,8.007610448062128,0.8258615676157793
3.0027463428193255,8.007610448062128,0.8768659596033502
3.183787120245023,8.007610448062128,0.9313437000890917
0.10609390400816746,9.02190777148333,2.435856429080736
0.28713468143386484,9.02190777148333,2.205673865576765
0.46817545885956224,9.02190777148333,1.9685284832015035
0.6492162362852596,9.02190777148333,1.7233693003612878
0.830257013710957,9.02190777148333,1.4704955823436734
1.0112977911366543,9.02190777148333,1.2175703559347235
1.1923385685623518,9.02190777148333,0.9928539448959847
1.373379345988049,9.02190777148333,0.8540722927506476
1.5544201234137465,9.02190777148333,0.8416035557344236
1.735460900839444,9.02190777148333,0.9188038340721411
1.9165016782651412,9.02190777148333,nan
2.0975424556908386,9.02190777148333,nan
2.278583233116536,9.02190777148333,nan
2.4596240105422336,9.02190777148333,nan
2.6406647879679306,9.02190777148333,nan
2.821705565393628,9.02190777148333,nan
3.0027463428193255,9.02190777148333,nan
3.183787120245023,9.02190777148333,nan
0.10609390400816746,10.036205094904533,2.245448253996975
0.28713468143386484,10.036205094904533,1.9423750145482086
0.46817545885956224,10.036205094904533,1.6120263543005464
0.6492162362852596,10.036205094904533,nan
0.830257013710957,10.036205094904533,nan
1.0112977911366543,10.036205094904533,nan
1.1923385685623518,10.036205094904533,nan
1.373379345988049,10.036205094904533,nan
1.5544201234137465,10.036205094904533,nan
1.735460900839444,10.036205094904533,nan
1.9165016782651412,10.036205094904533,nan
2.0975424556908386,10.036205094904533,nan
2.278583233116536,10.036205094904533,nan
2.4596240105422336,10.036205094904533,nan
2.6406647879679306,10.036205094904533,nan
2.821705565393628,10.036205094904533,nan
3.0027463428193255,10.036205094904533,nan
3.183787120245023,10.036205094904533,nan
0.10609390400816746,11.050502418325735,2.020935935825911
0.28713468143386484,11.050502418325735,nan
0.46817545885956224,11.050502418325735,nan
0.6492162362852596,11.050502418325735,nan
0.830257013710957,11.050502418325735,nan
1.0112977911366543,11.050502418325735,nan
1.1923385685623518,11.050502418325735,nan
1.373379345988049,11.050502418325735,nan
1.5544201234137465,11.050502418325735,nan
1.735460900839444,11.050502418325735,nan
1.9165016782651412,11.050502418325735,nan
2.0975424556908386,11.050502418325735,nan
2.278583233116536,11.050502418325735,nan
2.4596240105422336,11.050502418325735,nan
2.6406647879679306,11.050502418325735,nan
2.821705565393628,11.050502418325735,nan
3.0027463428193255,11.050502418325735,nan
3.183787120245023,11.050502418325735,nan
0.10609390400816746,12.064799741746937,nan
0.28713468143386484,12.064799741746937,nan
0.46817545885956224,12.064799741746937,nan
0.6492162362852596,12.064799741746937,nan
0.830257013710957,12.064799741746937,nan
1.0112977911366543,12.064799741746937,nan
1.1923385685623518,12.064799741746937,nan
1.373379345988049,12.064799741746937,nan
1.5544201234137465,12.064799741746937,nan
1.735460900839444,12.064799741746937,nan
1.9165016782651412,12.064799741746937,nan
2.0975424556908386,12.064799741746937,nan
2.278583233116536,12.064799741746937,nan
2.4596240105422336,12.064799741746937,nan
2.6406647879679306,12.064799741746937,nan
2.821705565393628,12.064799741746937,nan
3.0027463428193255,12.064799741746937,nan
