sigma,vial_number,time_min,mass_g,permeate_concentration_mM,retentate_concentration_mM
0.5,6,101.14167491666667,1.1266101635259083,7.447942180755552,66.2934587238189
0.5,6,101.96666666666667,1.1739319490968219,7.50411426001822,66.63099679635027
0.5,6,102.79165841666666,1.2211209794712266,7.560326850267311,66.96731664981236
0.5,6,103.61667491666667,1.2681793131060797,7.616581284463187,67.30243427225436
0.5,6,104.44166666666666,1.3151047774005504,7.672873830689285,67.63633552943519
0.5,6,105.26665841666666,1.3618994271797278,7.729205819203751,67.96903637607646
0.5,6,106.09167491666668,1.4085652978581418,7.785578583419444,68.3005525887801
0.5,6,106.91666666666667,1.4551002290754613,7.8419883816102605,68.63087014562917
0.5,7,107.33333333333333,1e-06,7.8419883816102605,68.63087014562917
0.5,7,108.33332333333333,0.05621776487288042,7.91041359195533,69.02951876861357
0.5,7,109.33334333333333,0.1122481061153497,7.978891362583624,69.4264531711234
0.5,7,110.33333333333333,0.1680897739017383,8.047418074433637,69.82165974109883
0.5,7,111.33332333333333,0.2237455481289265,8.11599602291503,70.21516047141878
0.5,7,112.33334333333333,0.27921817913689756,8.184627314469415,70.6069770837353
0.5,7,113.33333333333333,0.33450542855011467,8.253307726648318,70.99709607105994
0.5,7,114.33332333333333,0.3896100375405357,8.322039095346176,71.38553907091499
0.5,7,115.33334333333333,0.44453471808888073,8.390823168763124,71.77232745295127
0.5,7,116.33333333333333,0.49927724260262685,8.459655431465693,72.15744780912999
0.5,7,117.33332333333333,0.5538403138744933,8.528537501740672,72.54092142478892
0.5,7,118.33334333333333,0.6082266059688359,8.59747095815916,72.92276932164197
0.5,7,119.33333333333333,0.6624339017432092,8.6664511398493,73.30297818754472
0.5,7,120.33332333333333,0.7164648661985992,8.735479562464167,73.68156896104169
0.5,7,121.33334333333333,0.7703221361098249,8.804557724748664,74.05856232166191
0.5,7,122.33333333333333,0.8240035046079606,8.8736808910472,74.43394505153518
0.5,7,123.33332333333333,0.8775115995934577,8.942850529326034,74.8077377487555
0.5,7,124.33334333333333,0.930849021254946,9.012068101506792,75.17996075712117
0.5,7,125.33333333333333,0.9840135728929573,9.081328831330357,75.55060095208138
0.5,7,126.33332333333334,1.0370078460372871,9.150634165503693,75.91967859797724
0.5,7,127.33334333333333,1.0898344050196902,9.219985549858816,76.28721370956889
0.5,7,128.33333333333334,1.1424910632389196,9.289378184331113,76.65319325497113
0.5,7,129.33332333333334,1.1949803765921196,9.358813507183227,77.01763717154448
0.5,7,130.33334333333335,1.2473048742857349,9.428292958245638,77.38056515172403
0.5,7,131.33333333333334,1.2994623797595526,9.497811722124245,77.7419642557655
0.5,7,132.33332333333334,1.3514554140099582,9.567371234924762,78.1018541007649
0.5,7,133.33334333333332,1.4032864718408997,9.636972935451366,78.46025406346519
0.5,7,134.33333333333334,1.454953386681213,9.706611997453258,78.81715129578585
0.5,7,135.33332333333334,1.5064586453458064,9.776289858021437,79.17256510115897
0.5,7,136.33334333333335,1.5578047089452396,9.846007957441428,79.52651454714233
0.5,7,137.33333333333334,1.6089894208464879,9.915761461142983,79.87898687685215
0.5,8,138.33333333333334,1e-06,9.915761461142983,79.87898687685215
0.5,8,139.40832258333333,0.05484101235821284,9.990786202689645,80.2562102702084
0.5,8,140.48334408333332,0.10950023020708777,10.065852737089708,80.63177083458909
0.5,8,141.55833333333334,0.16397649574275525,10.140956239081712,81.00565632986473
0.5,8,142.63332258333332,0.218272557005787,10.216098532020567,81.37788819283772
0.5,8,143.70834408333334,0.2723911325788708,10.291281359583655,81.74848758999218
0.5,8,144.78333333333333,0.3263300733170154,10.366499634844017,82.11744236065621
